1.000000 0.030000
0.933089 0.064439
0.914606 0.073312
0.893866 0.082265
0.870965 0.091221
0.846017 0.100106
0.819152 0.108853
0.790516 0.117394
0.760264 0.125668
0.728567 0.133616
0.695602 0.141187
0.661556 0.148342
0.626637 0.155063
0.591090 0.161334
0.555193 0.167128
0.519248 0.172387
0.483566 0.177002
0.448414 0.180818
0.414003 0.183675
0.380483 0.185443
0.348117 0.186082
0.317100 0.185171
0.287228 0.182525
0.258351 0.178346
0.230506 0.172726
0.203743 0.165848
0.178196 0.157880
0.153997 0.148965
0.131260 0.139192
0.110105 0.128684
0.090633 0.117569
0.072941 0.105967
0.057144 0.094043
0.043417 0.081808
0.031692 0.069241
0.021818 0.056544
0.013794 0.043952
0.007623 0.031676
0.003289 0.019923
0.000769 0.008922
0.000013 -0.001090
0.000954 -0.009819
0.003486 -0.016914
0.007317 -0.021786
0.013324 -0.022791
0.023211 -0.020140
0.037418 -0.015268
0.055723 -0.008595
0.077933 -0.000483
0.103771 0.008869
0.132775 0.019521
0.165287 0.031844
0.201981 0.045510
0.242788 0.059695
0.287509 0.073777
0.335814 0.087165
0.387269 0.099275
0.441315 0.109579
0.497302 0.117586
0.554472 0.122894
0.611997 0.125169
0.668971 0.124207
0.724446 0.119892
0.777436 0.112272
0.826949 0.101502
0.872003 0.087916
0.911632 0.071966
0.944908 0.054184
0.970254 0.035323
0.986299 0.018212
0.994742 0.006223
0.998786 -0.000149
1.000000 -0.002050
